service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
9010201_9__1__013_,0,0,0,0,0,1,0,20250913,20261011
9010202_9__1__013_,0,0,0,0,0,1,0,20250913,20261011
9010301_9__1__013_,0,0,0,0,0,0,1,20250914,20261012
9010101_9__1__013_,1,1,1,1,1,0,0,20250915,20261013
9010102_9__1__013_,1,1,1,1,1,0,0,20250915,20261013
9010103_9__1__013_,1,1,1,1,1,0,0,20250915,20261013
9040102_9__1__013_,1,1,1,1,1,0,0,20250915,20261013
9020201_9__2__013_,0,0,0,0,0,1,0,20250913,20261011
9020202_9__2__013_,0,0,0,0,0,1,0,20250913,20261011
