NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;UNIT;REF_YEAR;BUS;BUS_AT_NIGHT;BUS_DURING_THE_DAY;TRAM;UNDERGROUND
AT1;AT13;AT130;90001;0;1995;km;2022;658,00;0,00;0,00;239,60;53,40
AT1;AT13;AT130;90001;0;1996;km;2022;637,00;0,00;0,00;237,00;57,00
AT1;AT13;AT130;90001;0;1997;km;2022;629,80;0,00;0,00;237,00;56,50
AT1;AT13;AT130;90001;0;1998;km;2022;631,70;0,00;0,00;235,80;58,60
AT1;AT13;AT130;90001;0;1999;km;2022;632,30;0,00;0,00;235,60;58,60
AT1;AT13;AT130;90001;0;2000;km;2022;623,10;0,00;0,00;232,50;61,60
AT1;AT13;AT130;90001;0;2001;km;2022;623,20;240,80;382,40;232,50;61,60
AT1;AT13;AT130;90001;0;2002;km;2022;625,60;240,80;384,80;232,50;61,60
AT1;AT13;AT130;90001;0;2003;km;2022;632,20;240,90;391,30;231,70;60,50
AT1;AT13;AT130;90001;0;2004;km;2022;637,70;240,90;396,80;231,70;60,50
AT1;AT13;AT130;90001;0;2005;km;2022;638,50;240,90;397,60;231,60;60,50
AT1;AT13;AT130;90001;0;2006;km;2022;668,60;277,00;391,60;227,30;65,10
AT1;AT13;AT130;90001;0;2007;km;2022;669,10;277,00;392,10;227,30;65,10
AT1;AT13;AT130;90001;0;2008;km;2022;650,00;258,80;391,20;214,90;68,90
AT1;AT13;AT130;90001;0;2009;km;2022;641,40;258,80;382,60;214,90;68,90
AT1;AT13;AT130;90001;0;2010;km;2022;621,50;237,30;384,20;214,80;74,20
AT1;AT13;AT130;90001;0;2011;km;2022;646,70;237,30;409,40;214,80;74,20
AT1;AT13;AT130;90001;0;2012;km;2022;717,30;237,40;479,90;221,50;74,20
AT1;AT13;AT130;90001;0;2013;km;2022;774,00;237,40;536,60;225,00;78,50
AT1;AT13;AT130;90001;0;2014;km;2022;826,50;237,43;589,07;222,70;78,50
AT1;AT13;AT130;90001;0;2015;km;2022;846,60;212,60;634,00;222,70;78,50
AT1;AT13;AT130;90001;0;2016;km;2022;832,50;198,70;633,80;222,80;78,50
AT1;AT13;AT130;90001;0;2017;km;2022;845,70;199,10;646,60;220,40;83,00
AT1;AT13;AT130;90001;0;2018;km;2022;848,00;198,80;649,20;220,50;83,00
AT1;AT13;AT130;90001;0;2019;km;2022;860,50;198,60;661,90;225,40;83,00
AT1;AT13;AT130;90001;0;2020;km;2022;879,90;211,90;668,00;227,10;83,00
AT1;AT13;AT130;90001;0;2021;km;2022;874,70;212,20;662,50;227,10;83,00
AT1;AT13;AT130;90001;0;2022;km;2022;882,90;212,20;670,70;227,00;83,00
